GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
special-computing-workshop,ru.spbu.apcyb.svp.tasks,Main,6,116,2,14,3,28,3,9,1,3
special-computing-workshop,ru.spbu.apcyb.svp.tasks,ChangeMaker,2,130,2,20,1,30,2,14,0,5
